data;pluviometria;residuo IIA;residuo IIB;vazao chorume;residuo chorume;tratamento externo chorume;tratamento interno chorume;fonte chorume aterro;fonte chorume chuva;fonte chorume lixão;lagoa media medição;lagoa media reserva;lagoa media capacidade;antiincrustante;Biocida;Carvão;NaCl;Óxido de Cálcio;PAC;Zeolia ZS 0.4x1;Zeolia ZN 3x8;Zeolia ZS 3x8;Cartucho  5x30;Cartucho 5x40;Cartucho 10;Ácido Cítrico;Membrana;Polímero;Reagente Nitro Amoniacal;Soda;Reagente DQO;Massa Resíduos;Volume Resíduos;Massa Específica; OPEX ;Areia Industrial;Brita;Pedra;Pedra 2;Rachão;Hora Tratores;Comcustível Tratores;Resíduos Tratores;Horas Escavadeira;Combustível Escavadeira;Resíduos Escavadeira
mai-20;317,00;33444,00;21719,00;19353,00;33404,00;11416,00;6830,00;15060,00;2739,00;2867,00;5377,00;3334,00;8312,00;75,00;75,00;;2500,00;;42223,00;350,00;;1900,00;248,00;40,00;288,00;22,00;;244,00;1,00;526,00;5,00;30840,00;26427,00;1,17;;;;;;;;;;;;
jun-20;310,00;32757,00;21230,00;26736,00;32612,00;23173,00;8004,00;19132,00;2679,00;4926,00;6176,00;1449,00;7378,00;62,00;40,00;;1000,00;1520,00;52851,00;;;;140,00;125,00;210,00;120,00;20,00;366,00;;724,00;4,00;39710,00;36451,00;1,09;;;;;;;;;;;;
jul-20;257,00;34968,00;28361,00;27026,00;35212,00;22061,00;8665,00;21535,00;2221,00;3617,00;5697,00;1828,00;6670,00;90,00;80,00;;2500,00;1592,00;61594,00;1500,00;;;252,00;17,00;266,00;141,00;;397,00;1,00;471,00;2,00;30007,00;26851,00;1,14;;;;;;;;;;;;
ago-20;128,00;33967,00;27588,00;17147,00;33901,00;11328,00;8321,00;13929,00;1106,00;2372,00;5910,00;714,00;6625,00;144,00;157,00;;1200,00;660,00;51046,00;200,00;505,00;0,00;186,00;3,00;210,00;89,00;;313,00;1,00;714,00;2,00;38828,00;39179,00;0,99;;;;;;;;;;;;
set-20;84,00;32468,00;28106,00;10773,00;32357,00;8236,00;8051,00;9688,00;726,00;1054,00;5367,00;1257,00;6625,00;337,00;325,00;1000,00;2000,00;658,00;37313,00;;;;171,00;18,00;201,00;235,00;;206,00;;805,00;1,00;29695,00;33427,00;0,89;;;;;;;;;;;;
out-20;25,00;33832,00;32214,00;8633,00;33801,00;5371,00;7935,00;8417,00;216,00;;4765,00;1860,00;6625,00;288,00;318,00;;2200,00;1088,00;45942,00;;0,00;;274,00;33,00;334,00;261,00;2,00;333,00;2,00;594,00;2,00;31339,00;;;;;;;;;;;;;;
nov-20;25,00;32288,00;31275,00;6984,00;32152,00;3443,00;7034,00;6768,00;216,00;;;;;238,00;198,00;;500,00;3280,00;41977,00;;2095,00;;267,00;18,00;259,00;90,00;;301,00;0,00;412,00;2,00;42449,00;39006,00;1,09;;;;;;;;;;;;
dez-20;36,00;36259,00;34506,00;6368,00;36136,00;1496,74;8851,00;6352,00;307,00;;;;;386,00;389,00;500,00;1025,00;3440,00;40416,00;;;;294,00;6,00;406,00;45,00;24,00;275,00;1,00;88,00;2,00;29011,00;29373,00;0,99;;;;;;;;;;;;
jan-21;80,00;33562,00;26403,00;783,00;33590,00;1563,00;8669,00;6013,00;691,00;;4101,00;2524,00;6625,00;298,00;335,00;1000,00;500,00;2225,00;13627,00;;1000,00;;480,00;91,00;311,00;55,00;;278,00;1,00;380,00;3,00;31300,00;30598,00;1,02;;;;;;;;;;;;
fev-21;58,00;30016,00;30300,00;530,00;29872,00;962,00;7775,00;5055,00;402,00;;4227,00;2398,00;6625,00;588,00;622,00;;;3495,00;20925,00;;;;288,00;345,00;323,00;50,00;;322,00;;2408,00;2,00;37684,00;33287,00;1,13;;;;;;;;;;;;
mar-21;223,00;33398,00;30704,00;31856,00;33281,00;560,00;8739,00;7817,00;1562,00;;4473,00;2152,00;6625,00;373,00;368,00;1000,00;;3880,00;23245,00;;1000,00;;582,00;27,00;680,00;150,00;;319,00;1,00;1515,00;1,00;29865,00;26878,00;1,11;;;;;;;;;;;;
abr-21;525,00;32066,00;29084,00;28979,00;31928,00;16609,00;8383,00;26198,00;4536,00;1122,00;5958,00;918,00;6647,00;193,00;204,00;;500,00;620,00;46786,00;;;;169,00;12,00;209,00;25,00;;380,00;;216,00;;29807,00;32326,00;0,92;;;;;;;;;;;;
mai-21;307,00;31613,00;31011,00;30086,00;31448,00;31501,00;8851,00;24423,00;2908,00;1648,00;5390,00;1345,00;6601,00;465,00;339,00;0,00;;1300,00;44189,00;;;;233,00;43,00;259,00;75,00;0,00;366,00;1,00;676,00;4,00;36284,00;39263,00;0,92;;;;;;;;;;;;
jun-21;393,00;32234,00;29155,00;25117,00;32245,00;12588,00;7945,00;25203,00;3392,00;1872,00;;;;150,00;250,00;;0,00;840,00;36366,00;;;;166,00;102,00;173,00;100,00;12,00;301,00;1,00;918,00;3,00;30619,00;57123,00;1,04;;;;;;;;;;;;
jul-21;221,00;31166,00;34357,00;14718,00;31116,00;19379,00;9355,00;25115,00;1970,00;2204,00;5516,00;1141,00;6657,00;20,00;;;2500,00;1020,00;27476,00;;1275,00;;213,00;91,00;241,00;225,00;;321,00;1,00;1125,00;3,00;28904,00;;;;;;;;;;;;;;
ago-21;302,00;28545,00;34943,00;10337,00;28494,00;13066,00;9957,00;20823,00;3049,00;1245,00;6269,00;1275,00;7214,00;230,00;150,00;;450,00;925,00;7383,00;;;;334,00;18,00;502,00;170,00;;376,00;;1335,00;2,00;32685,00;59137,00;0,90;;;;;;;;;;;;
set-21;94,00;28279,00;31073,00;8009,00;28238,00;10507,00;;13000,00;1220,00;517,00;;;;735,00;570,00;;530,00;1255,00;16023,00;1300,00;;450,00;203,00;62,00;294,00;305,00;10,00;339,00;;990,00;;25510,00;;;;;;;;;;;;;;
out-21;29,00;28195,00;30560,00;8536,00;28236,00;9895,00;;9889,00;376,00;;5965,00;1750,00;7715,00;175,00;365,00;;;1480,00;8227,00;;;;269,00;16,00;406,00;198,00;30,00;238,00;;266,00;;26938,00;20823,00;1,29;;;;;;;;;;;;
nov-21;14,00;28046,00;39043,00;29289,00;28038,00;12225,00;;7848,00;161,00;;5947,00;1768,00;7715,00;60,00;0,00;;70,00;720,00;13318,00;;;;461,00;3,00;49,00;312,00;;262,00;1,00;471,00;1,00;32528,00;28767,00;1,13;;;;;;;;;;;;
dez-21;169,00;35032,00;39920,00;9380,00;35033,00;10787,00;;7048,00;1941,00;;5615,00;2100,00;7715,00;230,00;115,00;;;740,00;15154,00;0,00;;;321,00;;385,00;140,00;;;0,00;138,00;0,00;30161,00;23396,00;1,29;;;;;;;;;;;;
jan-22;113,00;36614,00;25842,00;9830,00;37072,00;331,00;10266,00;9830,00;1302,00;15,00;;;;240,00;130,00;;;1240,00;16216,00;;;;300,00;21,00;250,00;138,00;;102,00;1,00;595,00;2,00;43094,00;34749,00;1,24;;;;;;;;;;;;
fev-22;64,00;32057,00;31746,00;8046,00;32733,00;3161,00;8582,00;8046,00;738,00;;;;;10,00;50,00;;;1200,00;12035,00;;;;137,00;34,00;242,00;122,00;;166,00;1,00;880,00;2,00;32724,00;26479,00;1,24;;;;;;;;;;;;
mar-22;433,00;32891,00;34783,00;13593,00;34157,00;7510,00;9814,00;13593,00;4989,00;403,00;6343,00;1371,00;7715,00;200,00;220,00;;;1540,00;11306,00;;;;259,00;9,00;339,00;115,00;;150,00;;600,00;;28985,00;24869,00;1,17; R$ 29.332,38 ;;;;;698,39;;;;;;
abr-22;190,00;32654,00;35759,00;14760,00;33853,00;12613,00;11893,00;14760,00;1302,00;600,00;6334,00;1286,00;7620,00;;;;;910,00;16959,00;;;;160,00;10,00;402,00;35,00;;123,00;1,00;137,00;2,00;31145,00;28292,00;1,10; R$ 47.086,95 ;;;;;1001,85;;;;;;
mai-22;619,00;32457,00;32883,00;21794,00;33874,00;19667,00;11432,00;21794,00;7132,00;1146,00;6249,00;1339,00;7588,00;150,00;150,00;;;130,00;18568,00;;;;238,00;;312,00;160,00;;86,00;1,00;163,00;;39516,00;35391,00;1,12; R$ 66.587,80 ;;99,08;;;1275,52;;;;;;
jun-22;475,00;31087,00;35096,00;24942,00;31087,00;22716,00;11272,00;24942,00;5473,00;1455,00;7145,00;555,00;7700,00;290,00;200,00;;;440,00;10920,00;;;;276,00;35,00;356,00;130,00;;38,00;;375,00;;29853,00;27129,00;1,05;126457,58;;;;940,00;1430,56;446,00;12680,00;29853,00;734,00;11649,00;29853,00
jul-22;486,00;35245,00;25418,00;26709,00;36338,00;21991,00;10225,00;26709,00;5599,00;395,00;7551,00;37,00;7588,00;40,00;40,00;;;210,00;13435,00;;;;312,00;43,00;311,00;431,00;;55,00;1,00;250,00;1,00;38520,00;31658,00;1,22;97922,76;;;;276,40;1593,66;856,00;16930,00;38520,00;695,00;8476,00;38520,00
ago-22;354,00;33584,00;38115,00;24586,00;33584,00;23220,00;10434,00;24586,00;8908,00;340,00;7454,00;1380,00;8835,00;270,00;80,00;;;620,00;15276,00;;;;450,00;45,00;271,00;534,00;16,00;81,00;1,00;215,00;2,00;32472,00;31899,00;1,02;131091,58;;;;494,33;2126,60;835,00;15690,00;32472,00;596,00;7785,00;32472,00
set-22;76,00;30280,00;38251,00;16783,00;30302,00;21866,00;9245,00;16783,00;1912,00;185,00;6607,00;2610,00;9217,00;490,00;450,00;;;70,00;16885,00;;;;290,00;187,00;89,00;127,00;;25,00;;535,00;;35102,00;34249,00;1,02;166279,08;;;;194,53;2789,82;738,00;14657,00;35102,00;616,00;8651,00;35102,00
out-22;72,00;30559,00;38743,00;13168,00;30551,00;5786,00;10036,00;13168,00;1812,00;;6008,00;2827,00;8835,00;633,00;1446,00;;;2187,00;10152,00;;;;77,00;2600,00;84,00;477,00;;22,00;;1325,00;;28298,00;28859,00;0,98;113975,95;;;;;2072,29;586,00;11207,00;28298,00;776,00;10842,00;28298,00
nov-22;182,00;30361,00;39336,00;15973,00;30360,00;8688,00;10839,00;15973,00;4580,00;540,00;6032,00;2802,00;8835,00;320,00;345,00;;;;13565,00;;;;200,00;36,00;;200,00;;36,00;;700,00;1,00;30628,00;31216,00;0,98;28804,60;;;;;523,72;593,00;12022,00;30628,00;994,00;13972,00;30628,00
dez-22;148,00;37050,00;30658,00;13747,00;37058,00;13237,00;10408,00;13747,00;3724,00;390,00;5529,00;3316,00;8844,00;300,00;385,00;;;;15058,00;;;;175,00;27,00;182,00;150,00;;52,00;1,00;1000,00;1,00;35365,00;35822,00;0,99;53139,35;;;;;966,20;660,00;11665,00;35365,00;1047,00;15406,00;35365,00
jan-23;125,00;39951,00;26749,00;11995,00;39951,00;8879,00;9165,00;11995,00;3145,00;;4395,00;4576,00;8971,00;490,00;920,00;1000,00;;;12447,00;;500,00;;126,00;18,00;133,00;45,00;;41,00;1,00;670,00;1,00;42720,00;39307,00;1,09;94665,41;;;;;1593,20;607,00;10489,00;42720,00;1119,00;15693,00;42720,00
fev-23;49,00;36699,00;18045,00;10400,00;36699,00;7060,00;6994,00;10400,00;1233,00;;4085,00;4896,00;8981,00;320,00;;;;10,00;8859,00;;;;133,00;24,00;133,00;25,00;;43,00;;405,00;1,00;36745,00;33982,00;1,08;125857,93;;29,30;;85,96;2018,60;561,00;10663,00;36745,00;875,00;12128,00;36745,00
mar-23;141,00;42965,00;14899,00;10314,00;41516,00;4390,00;6958,00;10314,00;3548,00;;4078,00;4903,00;8981,00;70,00;;;;95,00;12234,00;;;;112,00;21,00;126,00;25,00;;75,00;;1350,00;;33725,00;30760,00;1,10;162720,49;;315,00;;117,50;2520,00;563,00;10361,00;33725,00;1064,00;14559,00;33725,00
abr-23;217,00;37916,00;8115,00;10096,00;37916,00;612,00;9237,00;10096,00;5461,00;;4274,00;6082,00;10356,00;12,00;280,00;;;320,00;13078,00;;;;147,00;18,00;147,00;60,00;;140,00;;1125,00;;51244,00;47582,00;1,08;126351,50;;213,00;;;2043,55;499,00;9158,00;51244,00;719,00;8925,00;51244,00
mai-23;391,00;44594,00;10718,00;22600,00;44594,00;6533,00;8356,00;21037,00;9839,00;1563,00;5108,00;5526,00;10634,00;120,00;190,00;;;1800,00;18141,00;;;;213,00;24,00;397,00;50,00;;3105,00;;888,00;1,00;33709,00;30257,00;1,11;261099,24;;811,00;;1190,00;2507,00;798,00;11300,00;33709,00;12468,00;9177,00;33709,00
jun-23;342,00;42885,00;12396,00;28966,00;42885,00;12802,00;8720,00;26227,00;8606,00;2739,00;6831,00;3804,00;10635,00;90,00;120,00;;;140,00;25777,00;;;;182,00;18,00;203,00;60,00;;80,00;;367,00;;49701,00;47370,00;1,05;180621,78;;453,00;;1256,00;1269,00;466,00;9088,00;49701,00;627,00;8001,00;49701,00
jul-23;245,00;43503,00;10641,00;24821,00;43503,00;18066,00;7469,00;24821,00;6165,00;3134,00;8550,00;2127,00;10678,00;260,00;315,00;;;;18394,00;;;;119,00;47,00;112,00;170,00;;80,00;;415,00;;40432,00;38517,00;1,05;155781,38;;;;113,00;2685,00;533,00;11236,00;40432,00;809,00;10436,00;40432,00
ago-23;170,00;42301,00;15432,00;14440,00;42301,00;17514,00;10244,00;14506,00;4278,00;;7890,00;2819,00;10709,00;280,00;310,00;;;;15609,00;;;;112,00;9,00;119,00;50,00;;78,00;;100,00;;38013,00;37421,00;1,02;215508,93;29,00;;26,00;702,00;2962,00;572,00;11510,00;38013,00;863,00;12012,00;38013,00
set-23;108,00;39977,00;12925,00;13556,00;39977,00;14063,00;8567,00;13556,00;2718,00;;7214,00;3495,00;10709,00;360,00;230,00;;;;13711,00;;;;141,00;64,00;147,00;115,00;;24,00;1,00;580,00;1,00;46219,00;;;161378,05;49,00;83,00;56,00;276,00;2476,00;535,00;10972,00;46219,00;766,00;10822,00;46219,00
out-23;36,00;45332,00;15825,00;11581,00;45332,00;11053,00;7896,00;11581,00;906,00;942,00;6546,00;4163,00;10709,00;270,00;210,00;;;600,00;12192,00;;;;141,00;27,00;97,00;258,00;;38,00;1,00;625,00;1,00;41781,00;;;104743,00;30,00;80,00;26,00;;1905,00;478,00;8591,00;41781,00;733,00;9728,00;41781,00
nov-23;4,00;38128,00;19609,00;8150,00;38128,00;14839,00;8363,00;8150,00;;;5200,00;5509,00;10709,00;340,00;280,00;;;;9703,00;;;;98,00;24,00;98,00;100,00;;110,00;;75,00;2,00;44062,00;;;160511,18;;;;;2515,00;553,00;9065,00;44062,00;403,00;5570,00;44062,00
dez-23;125,00;40967,00;11928,00;7497,00;40967,00;7726,00;5641,00;7497,00;3145,00;;4340,00;6369,00;10709,00;210,00;200,00;;;;14133,00;;;;147,00;27,00;147,00;150,00;;78,00;1,00;175,00;1,00;39969,00;;;183859,73;;;;26,00;2848,00;528,00;8030,00;39969,00;707,00;8567,00;39969,00
